id,lat,lon
259996521,-12.1089167,-77.0499671
259996522,-12.1179288,-77.040066
262567626,-12.1095509,-77.0324557
262567627,-12.1095095,-77.033558
262567631,-12.109826,-77.0339652
262567634,-12.1106084,-77.0342546
262567635,-12.1112163,-77.0344705
262567636,-12.1116018,-77.0346048
262567645,-12.1127904,-77.0352694
262567648,-12.1132605,-77.0348465
262567649,-12.1132556,-77.0345661
262567653,-12.112505,-77.0338813
262567654,-12.1120042,-77.033349
262567656,-12.1116471,-77.0330116
262567658,-12.1116574,-77.0323836
262568937,-12.1138709,-77.0323919
262569014,-12.1125168,-77.0333831
262569016,-12.1125915,-77.0324015
262569263,-12.1132359,-77.0334308
262569370,-12.1132583,-77.0347205
262569642,-12.1089762,-77.0317903
262569643,-12.1078972,-77.0319506
262569644,-12.1068377,-77.032139
262569646,-12.1057759,-77.0323178
262570309,-12.1071304,-77.0339261
262570310,-12.1069749,-77.0328999
262570376,-12.1082061,-77.0337483
262570465,-12.1090962,-77.0325386
262570610,-12.1086963,-77.0339848
262570611,-12.1085819,-77.0341565
262570623,-12.108595,-77.0336891
262570627,-12.1093127,-77.034699
262570656,-12.110058,-77.0352947
262570743,-12.1115812,-77.0357342
262570744,-12.1115747,-77.0368074
262570769,-12.1140021,-77.0357796
262570771,-12.1141076,-77.0389452
262570898,-12.1106622,-77.0356807
262570899,-12.1108692,-77.0357303
262570900,-12.1126728,-77.0357454
262570901,-12.1132765,-77.0357643
262570902,-12.1158686,-77.0357975
262570985,-12.110705,-77.0368123
262570986,-12.1126763,-77.0368282
262571000,-12.112232,-77.0369707
262571001,-12.1122246,-77.0380255
262571075,-12.1131884,-77.0380378
262571076,-12.1132096,-77.03698
262571414,-12.1072008,-77.0378379
262571417,-12.1067418,-77.0385615
262571435,-12.106203,-77.0349809
262571582,-12.1075967,-77.0382383
262571583,-12.1099207,-77.0406528
262571584,-12.1115992,-77.0424609
262571651,-12.1073888,-77.0358099
262571658,-12.1066806,-77.0384933
262571660,-12.1062429,-77.0388864
262571728,-12.1065974,-77.0352627
262571730,-12.1054538,-77.0345845
262571732,-12.1064015,-77.0357316
262571733,-12.1096917,-77.0375276
262571797,-12.1065062,-77.0346155
262572048,-12.1085863,-77.0376691
262572235,-12.1038149,-77.038815
262572273,-12.1045125,-77.0313377
262572274,-12.1042042,-77.0293882
262572275,-12.1039123,-77.0276956
262572276,-12.1052666,-77.0292174
262572277,-12.1056756,-77.0291454
262572278,-12.1063275,-77.0290395
