origen,destino,nombre,longitud,velocidad_max,tipo_via,sentido_unico,vulnerabilidad
3811342112,108015861,Avenida Santa Cruz,136.6138629411897,60,secondary,False,0.4
3811342112,3811342113,Avenida Santa Cruz,10.17775538071385,30,secondary,False,0.4
3811342112,262571651,Avenida Felipe Pardo y Aliaga,103.3910063942104,40,tertiary,True,0.6
3811342113,262570611,Avenida Santa Maria,121.25915441376728,40,residential,True,0.8
3811342113,3811342112,Avenida Santa Cruz,10.17775538071385,30,secondary,False,0.4
3811342113,108234781,Avenida Santa Cruz,98.5683725977097,30,secondary,False,0.4
3825454543,391013941,Avenida Prolongación General José de San Martín,21.87990449110113,30,secondary,True,0.4
3825454543,1192959994,Jirón Domeyer,104.57485382904127,30,residential,True,0.8
3825454543,1717282343,Jirón Domeyer,38.31750635108151,30,residential,False,0.8
3831532709,4381412243,Pasaje Bresciani,174.9289391083703,30,residential,False,0.8
3831532711,4344559505,Pasaje Pedro Solari,10.338668076249547,30,residential,False,0.8
3831532711,1838358319,Avenida Pedro de Osma,78.93195115839869,30,secondary,True,0.4
3831532711,10083100521,Pasaje Pedro Solari,5.764076267866479,30,residential,False,0.8
3903819663,326021261,Calle Luis Graña,10.179461120950153,40,residential,False,0.8
3903819663,3903819668,Avenida Paul Linder Lob,90.57211485033793,40,residential,True,0.8
3903819668,3630229223,Jirón Eduardo Ordoñez,7.610569997327648,40,residential,True,0.8
3908588294,3908588299,Calle sin nombre,65.96345774148269,20,residential,False,0.8
3908588294,3908588299,Avenida Los Próceres,48.21851713372746,50,secondary,True,0.4
3908588299,4351840699,Avenida Los Próceres,5.655243466758279,50,secondary,True,0.4
3908588299,3908588294,Calle sin nombre,65.96345774148269,20,residential,False,0.8
3908702116,262577860,Avenida José Pardo,52.88127565376742,60,secondary,True,0.4
3949418115,263108187,Avenida Javier Prado Este,131.8060587675184,80,motorway,True,0.1
3949418115,4022717906,Calle sin nombre,146.9279532269975,60,motorway_link,True,0.8
3949426095,4022717906,Avenida Javier Prado Este,69.38110285644986,60,primary,True,0.2
3949426097,3949426095,Calle sin nombre,167.00611207239157,30,unclassified,True,0.8
3949426097,3949426095,Avenida Javier Prado Este,163.45541910019438,60,primary,True,0.2
3952763529,421229300,Las Palmas,10.504620716337032,40,residential,False,0.8
3952763529,421229252,Avenida Buganvilla,175.7327722638677,50,tertiary,True,0.6
3952821598,263621934,Calle sin nombre,267.74204392496864,60,trunk_link,True,0.8
3952821598,4384398038,Quebrada de Armendariz,185.77292628754563,60,trunk,True,0.8
3952827980,263621934,Avenida Almirante Miguel Grau,123.47057467723523,60,secondary,True,0.4
3952827987,10719741850,Avenida Almirante Miguel Grau,114.16342745795438,60,secondary,True,0.4
3952828765,3952828770,Calle sin nombre,63.4624243404598,30,secondary_link,True,0.8
3952828765,263621936,Avenida Almirante Miguel Grau,38.123916790462495,60,secondary,True,0.4
3952828770,391007961,Avenida El Sol Oeste,96.36384906183356,30,secondary,True,0.4
3952964342,1414370611,Calle sin nombre,40.3761682824047,30,motorway_link,True,0.8
3952964342,5581455138,Calle sin nombre,89.65209145356432,60,motorway_link,True,0.8
